2025-11-17 01:49:23,519 | INFO     | <module>:554 | ======================================================================
2025-11-17 01:49:23,519 | INFO     | <module>:554 | ======================================================================
2025-11-17 01:49:23,519 | INFO     | <module>:555 | FlintWeatherAI v1.0 Starting
2025-11-17 01:49:23,519 | INFO     | <module>:555 | FlintWeatherAI v1.0 Starting
2025-11-17 01:49:23,519 | INFO     | <module>:556 | ======================================================================
2025-11-17 01:49:23,519 | INFO     | <module>:556 | ======================================================================
2025-11-17 01:49:23,520 | INFO     | <module>:557 | Gemini: Enabled
2025-11-17 01:49:23,520 | INFO     | <module>:557 | Gemini: Enabled
2025-11-17 01:49:23,520 | INFO     | <module>:558 | Weather API: Configured
2025-11-17 01:49:23,520 | INFO     | <module>:558 | Weather API: Configured
2025-11-17 01:49:23,520 | INFO     | <module>:559 | ======================================================================
2025-11-17 01:49:23,520 | INFO     | <module>:559 | ======================================================================
2025-11-17 01:49:23,535 | INFO     | _log:187 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8000
 * Running on http://192.0.0.2:8000
2025-11-17 01:49:23,535 | INFO     | _log:187 | [33mPress CTRL+C to quit[0m
2025-11-17 01:49:52,831 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 01:49:52] "[36mGET / HTTP/1.1[0m" 304 -
2025-11-17 01:49:52,891 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 01:49:52] "[36mGET /static/js/app.js HTTP/1.1[0m" 304 -
2025-11-17 01:49:52,894 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 01:49:52] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-11-17 01:49:58,874 | DEBUG    | get_gemini_weather:165 | Gemini error: 'parts'
2025-11-17 01:49:58,874 | DEBUG    | get_gemini_weather:165 | Gemini error: 'parts'
2025-11-17 01:49:59,496 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 01:49:59] "POST /api/weather HTTP/1.1" 200 -
2025-11-17 01:50:05,111 | INFO     | get_hourly:441 | Hourly forecast requested for: 22.5805442, 88.4515422
2025-11-17 01:50:05,111 | INFO     | get_hourly:441 | Hourly forecast requested for: 22.5805442, 88.4515422
2025-11-17 01:50:05,113 | DEBUG    | get_hourly:457 | Requesting hourly forecast from WeatherAPI: 22.5805442,88.4515422
2025-11-17 01:50:05,113 | DEBUG    | get_hourly:457 | Requesting hourly forecast from WeatherAPI: 22.5805442,88.4515422
2025-11-17 01:50:05,511 | DEBUG    | get_hourly:460 | WeatherAPI hourly response status: 200
2025-11-17 01:50:05,511 | DEBUG    | get_hourly:460 | WeatherAPI hourly response status: 200
